epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.518,1.95076,4.29271,2.18027,0.00561,0.7,0.10178,0.04659,1.85224,4.65764,2.23017,0.00022725,0.00022725,0.00022725
2,400.229,1.7057,3.55735,1.87717,0.6045,0.07883,0.1496,0.06588,2.18951,4.19502,2.50136,0.000454411,0.000454411,0.000454411
3,590.121,1.72933,3.0793,1.79132,0.69218,0.19461,0.1689,0.06883,1.87486,3.89564,2.31726,0.000672213,0.000672213,0.000672213
4,784.002,1.69753,2.84626,1.79734,0.69699,0.32698,0.2466,0.11311,1.91896,3.5173,2.36005,0.000855005,0.000855005,0.000855005
5,975.011,1.73214,2.78239,1.77617,0.82984,0.3098,0.32345,0.14002,1.88363,3.78044,2.46682,0.000837007,0.000837007,0.000837007
6,1172.24,1.70711,2.65756,1.78855,0.42011,0.45092,0.41659,0.16998,2.06699,3.01262,2.53315,0.000819009,0.000819009,0.000819009
7,1366.35,1.66379,2.52461,1.73191,0.77043,0.29239,0.30507,0.11975,1.96778,3.28373,2.29858,0.000801011,0.000801011,0.000801011
8,1556.16,1.61761,2.40392,1.71073,0.62957,0.30784,0.34451,0.15358,2.03068,3.07552,2.45015,0.000783013,0.000783013,0.000783013
9,1754.02,1.64725,2.29685,1.6765,0.53969,0.27304,0.35769,0.15133,2.08746,3.66395,2.33972,0.000765014,0.000765014,0.000765014
10,1945.15,1.59973,2.24617,1.67303,0.46654,0.26324,0.23352,0.10244,2.19878,3.40388,2.32546,0.000747016,0.000747016,0.000747016
11,2139.72,1.60793,2.18477,1.65524,0.6394,0.49503,0.39701,0.15548,2.08704,2.6101,2.28611,0.000729018,0.000729018,0.000729018
12,2335.63,1.61491,2.01753,1.66705,0.72021,0.42527,0.45307,0.21907,2.13402,2.44279,2.29916,0.00071102,0.00071102,0.00071102
13,2531.86,1.59198,1.9908,1.63158,0.58637,0.41954,0.40194,0.16735,2.12986,3.53139,2.45614,0.000693022,0.000693022,0.000693022
14,2728.03,1.53289,1.98932,1.59523,0.58531,0.43193,0.32576,0.15227,2.19336,2.87731,2.46221,0.000675023,0.000675023,0.000675023
